age,gender,profiles,cases,score
25,Female,1,0,
37,Male,1,0,
20,Male,1,2,4
19,Female,2,0,
33,Male,2,5,
37,Male,2,3,
,Male,1,0,
23,Male,2,0,
39,Female,2,0,
25,Male,1,0,
23,Male,1,0,
26,Male,1,0,
21,Female,1,0,
,Male,2,0,
39,Male,5,4,
23,Male,1,1,
26,Male,1,0,
24,Female,2,0,
20,Female,1,0,
29,Male,3,3,
,Others,2,0,
27,Male,2,0,
,Female,2,0,
20,Male,1,1,
31,Male,3,3,
34,Male,1,0,
28,Female,3,20,
26,Male,1,0,
,Male,2,0,
26,Male,1,1,
53,Male,4,2,
,Male,1,0,
,Male,2,0,
44,Male,1,0,
34,Female,3,7,
35,Female,1,3,
27,Male,1,0,
,Female,1,0,
19,Male,1,0,
26,Male,3,2,5
,Female,3,0,
22,Male,1,0,
22,Male,1,0,
23,Male,1,0,
25,Female,1,0,
,Male,3,0,
24,Male,2,0,
19,Male,4,2,
28,Female,2,0,
25,Female,2,4,4
29,Male,1,0,
24,Female,4,0,
,Male,1,0,
24,Female,1,0,
33,Female,4,9,
29,Female,1,0,
22,Female,1,2,
26,Male,1,0,
29,Male,1,0,
26,Male,2,1,
30,Female,1,0,
21,Female,1,0,
28,Female,1,0,
24,Male,1,0,
26,Female,3,1,
41,Female,2,4,
31,Female,1,1,
25,Female,4,0,
23,Female,4,1,5
,Male,2,0,
34,Male,2,0,
,Male,1,0,
37,Female,1,0,
31,Male,3,4,
21,Female,1,0,
,Female,1,0,
42,Male,1,0,
24,Female,1,0,
26,Female,1,0,
28,Male,1,0,
29,Male,2,1,5
,Female,2,0,
30,Male,3,4,
31,Male,1,0,
32,Female,2,0,
36,Female,6,4,4
,Male,4,3,
,Female,2,0,
27,Male,2,1,
24,Female,1,1,
25,Male,3,1,
26,Male,1,0,
28,Female,1,0,
33,Male,1,0,
22,Female,2,0,
29,Male,2,1,
19,Female,1,0,
,Male,2,0,
25,Male,1,1,5
23,Male,3,3,
31,Male,1,0,
32,Male,1,0,
,Male,2,0,
29,Female,1,0,
26,Male,2,0,
33,Male,3,3,5
20,Male,1,0,
31,Female,3,6,
29,Male,3,0,
28,Male,1,0,
32,Male,3,0,
29,Female,2,5,
30,Male,4,1,
23,Female,1,0,
,Male,1,0,
29,Male,2,3,5
,Female,1,0,
37,Male,1,0,
22,Male,1,0,
21,Female,4,4,
26,Male,1,1,5
25,Male,1,0,
26,Female,1,0,
28,Male,1,0,
24,Male,1,0,
20,Male,1,0,
18,Male,1,0,
21,Male,1,0,
32,Male,2,1,
25,Male,3,0,
,Male,2,0,
26,Female,1,1,
29,Male,4,0,
26,Male,1,2,
42,Male,2,1,
20,Male,2,0,
30,Male,3,4,
21,Female,1,0,
21,Male,2,0,
,Male,1,0,
,Female,7,4,
,Male,3,1,
,Male,2,1,
32,Male,1,0,
34,Male,1,1,
43,Male,1,0,
28,Male,2,0,
26,Female,1,2,
,Others,1,0,
23,Male,1,0,
,Female,1,0,
24,Male,1,1,1
51,Male,3,1,
,Male,3,0,
,Male,2,0,
26,Male,1,0,
37,Male,5,6,
,Male,1,0,
32,Male,2,0,
,Male,5,0,
,Male,3,0,
19,Male,3,0,
,Male,1,0,
20,Male,1,0,
,Male,1,0,
,Male,3,0,
,Male,2,0,
,Male,3,0,
23,Female,1,0,
21,Female,2,1,5
18,Male,1,0,
,Male,2,0,
23,Female,2,1,
,Female,1,0,
,Male,1,0,
,Female,2,0,
31,Male,2,0,
20,Male,1,0,
27,Male,1,0,
25,Male,2,0,
,Male,1,0,
31,Female,3,2,
14,Male,2,0,
39,Female,3,2,
27,Female,1,1,
26,Male,2,3,
,Male,1,0,
19,Male,1,0,
36,Female,3,0,
13,Female,1,0,
31,Male,1,0,
,Male,1,0,
30,Male,1,0,
,Male,2,0,
,Male,2,0,
30,Male,2,0,
29,Male,1,0,
29,Female,2,3,
36,Male,1,0,
,Male,1,0,
20,Male,1,0,
21,Female,2,2,5
,Female,2,0,
28,Male,1,0,
30,Male,3,6,5
28,Female,1,0,
20,Male,2,0,
,Male,1,0,
30,Female,1,0,
27,Male,2,1,
26,Female,1,1,
39,Female,1,0,
27,Female,3,0,
,Male,1,0,
29,Male,1,0,
21,Male,2,3,
26,Female,4,11,
,Male,1,0,
,Male,1,0,
22,Male,3,2,5
22,Male,1,0,
28,Male,1,3,
,Male,2,0,
29,Female,3,0,
,Female,1,0,
,Male,1,0,
,Female,1,0,
31,Male,1,1,
21,Male,1,2,
25,Male,2,0,
,Male,1,0,
19,Male,2,0,
,Female,3,2,
20,Female,1,0,
24,Male,1,0,
22,Female,1,1,5
,Male,3,1,3
23,Male,1,0,
36,Female,2,0,
22,Female,2,0,
27,Male,1,1,
29,Female,2,0,
,Male,1,0,
,Male,3,0,
31,Male,2,0,
32,Male,2,0,
24,Male,1,0,
31,Male,1,0,
33,Female,1,1,
,Female,2,0,
28,Male,1,2,5
18,Male,2,0,
24,Male,1,0,
25,Male,2,0,
,Male,2,0,
,Male,1,0,
,Male,2,0,
21,Male,1,0,
19,Female,3,0,
,Male,2,0,
18,Male,2,0,
21,Female,1,0,
25,Male,1,0,
35,Male,1,0,
33,Male,2,1,
27,Male,1,0,
27,Male,6,6,
,Male,3,0,
20,Male,1,0,
19,Female,4,3,
23,Male,1,0,
20,Male,3,1,
40,Male,1,0,
35,Female,2,1,
30,Female,1,3,
37,Male,1,0,
21,Female,2,0,
22,Male,2,4,
22,Male,1,0,
26,Male,1,1,5
,Male,1,0,
33,Male,1,0,
29,Female,2,0,
36,Male,1,0,
31,Female,1,0,
,Male,1,0,
50,Female,1,0,
23,Male,1,0,
30,Male,1,0,
35,Female,1,0,
29,Female,2,4,
,Female,2,0,
,Male,2,0,
20,Male,2,0,
28,Male,1,0,
25,Male,1,0,
18,Male,1,0,
,Male,1,0,
,Male,1,0,
48,Male,1,0,
20,Male,1,0,
32,Female,2,0,
40,Male,4,1,5
23,Male,1,0,
,Male,2,1,
,Male,2,0,
23,Male,1,1,
26,Male,2,1,
26,Female,1,0,
,Male,1,0,
17,Male,1,0,
27,Male,1,0,
36,Female,2,6,
24,Male,1,0,
,Male,1,0,
29,Male,3,0,
26,Female,1,3,
32,Male,2,0,
22,Male,1,0,
,Female,1,0,
16,Male,1,0,
277,Male,1,0,
26,Male,1,0,
37,Male,1,0,
,Male,1,0,
30,Male,1,0,
18,Male,1,2,
26,Female,1,4,
25,Male,1,0,
,Male,2,0,
18,Male,1,0,
41,Male,4,2,
22,Male,1,0,
,Male,1,0,
34,Male,1,0,
,Male,1,0,
27,Male,1,0,
,Female,3,1,
23,Male,1,0,
20,Female,2,0,
19,Female,1,0,
28,Female,1,3,4
26,Male,1,1,
33,Male,2,2,
25,Male,1,1,
27,Male,3,1,
39,Male,1,2,
24,Female,3,0,
21,Male,1,0,
23,Female,1,0,
22,Male,1,0,
,Female,2,0,
23,Male,1,1,
33,Male,2,3,
,Male,1,0,
,Female,1,0,
19,Male,8,5,
23,Female,1,0,
22,Male,1,0,
24,Male,1,0,
,Male,1,0,
,Female,1,0,
24,Male,1,2,
29,Male,2,2,
,Male,1,0,
21,Male,1,0,
,Male,1,0,
23,Male,2,0,
40,Male,2,2,
29,Female,1,0,
26,Female,1,1,
29,Female,3,6,
22,Male,4,1,
30,Male,1,1,5
33,Male,3,4,
31,Male,6,5,5
32,Male,2,6,
39,Male,1,0,
34,Male,1,0,
39,Male,3,5,1
24,Female,3,2,
27,Male,4,15,
26,Female,1,0,
29,Male,1,0,
,Male,2,0,
,Female,1,0,
41,Female,3,4,
,Male,2,0,
,Female,2,0,
29,Male,2,0,
,Male,3,1,
,Male,2,0,
19,Male,1,0,
19,Male,2,0,
32,Male,2,0,
34,Male,7,13,
30,Male,1,0,
,Male,1,0,
,Male,3,0,
,Male,2,0,
,Male,2,0,
,Female,1,0,
26,Male,2,0,
17,Male,2,0,
18,Male,1,0,
,Male,2,0,
21,Male,1,3,5
35,Male,1,1,5
,Male,1,0,
21,Male,1,1,
26,Male,1,0,
28,Male,1,2,5
21,Male,1,0,
59,Male,1,0,
19,Male,1,1,
22,Male,2,0,
,Male,1,0,
,,3,2,
,,1,0,
,,,0,
,Male,2,0,
33,Male,2,3,3
26,Male,1,1,
31,Male,1,0,
17,Male,1,0,
,Male,2,0,
27,Female,1,1,5
,Male,3,0,
20,Male,1,0,
23,Male,2,2,5
29,Female,3,1,
25,Male,1,1,
,Male,1,0,
,Male,1,0,
58,Male,2,1,
24,Male,1,0,
17,Male,5,0,
35,Male,3,0,
23,Male,2,4,
27,Male,1,0,
,Male,2,0,
,Male,3,0,
44,Male,3,3,5
,Male,3,0,
20,Female,2,1,
21,Male,1,1,
21,Male,2,1,
24,Female,1,3,5
23,Male,2,3,
32,Male,1,3,5
,Male,1,0,
27,Female,1,1,
32,Male,3,1,3
24,Male,2,1,
23,Male,1,0,
36,Female,3,0,
23,Male,1,5,
24,Female,1,0,
,Male,3,2,
25,Female,1,1,
,Female,1,0,
,Male,1,0,
,Male,3,1,5
20,Male,1,0,
,Male,2,0,
36,Male,1,2,
,Male,3,1,
37,Female,2,0,
39,Male,1,1,5
27,Female,1,2,
22,Female,1,1,
,Male,2,0,
31,Male,1,1,
28,Male,2,0,
65,Male,2,0,
30,Male,2,1,
20,Male,1,1,
40,Male,1,1,
26,Male,1,0,
,Male,2,0,
29,Female,1,1,
22,Male,1,1,
,Male,1,0,
,Male,1,0,
20,Male,1,2,
,Male,1,1,
19,Male,2,0,
,Female,1,0,
19,Male,1,2,5
21,Male,1,0,
,Male,3,0,
23,Female,2,1,
,Female,2,0,
38,Male,1,0,
29,Male,1,0,
22,Male,1,1,
29,Male,1,0,
17,Male,2,0,
19,Female,1,0,
26,Male,1,1,
21,Male,1,1,
18,Male,1,0,
29,Male,1,0,
20,Male,1,1,
26,Male,1,0,
30,Female,1,2,
45,Male,2,1,
29,Male,1,1,
22,Male,2,2,
25,Male,1,3,
21,Male,1,1,
18,Male,1,0,
19,Male,1,0,
35,Male,4,4,
21,Others,2,0,
51,Male,1,3,2
36,Male,1,2,
,Male,1,0,
24,Male,3,0,
26,Female,2,0,
29,Male,1,2,
30,Male,1,0,
21,Male,1,2,3
29,Female,1,0,
31,Female,3,2,
21,Male,2,1,
44,Male,7,0,
26,Male,1,1,
26,Female,1,1,
,Male,1,0,
34,Male,2,2,4
,Male,1,0,
24,Male,1,4,
37,Male,1,2,5
30,Male,2,0,
17,Male,2,0,
23,Male,1,0,
21,Female,3,1,
23,Male,2,1,
,Male,1,0,
34,Male,3,1,
22,Male,5,21,
29,Male,3,2,
21,Male,1,1,
25,Female,1,0,
19,Female,1,0,
32,Male,3,4,
25,Male,1,1,
22,Female,3,2,
36,Female,3,1,
23,Female,1,1,
24,Female,2,2,
,female,2,0,
,Others,1,0,
29,Male,3,3,
29,Male,1,1,
37,Male,5,3,5
,Female,2,0,
,female,3,1,
23,Male,1,2,
23,Male,1,1,
26,Male,1,1,
26,Female,1,1,
60,Male,5,8,
19,Male,1,1,
18,Male,1,0,
21,Male,1,4,
,Male,1,0,
28,Male,3,1,
19,Male,1,0,
24,Male,1,1,4
20,Male,1,1,
23,Female,3,2,
17,Male,1,1,
28,Male,2,3,
32,Male,1,1,
21,Male,1,1,
25,Female,1,3,
28,Female,1,1,
45,Male,2,2,
23,Male,1,2,
19,Male,1,0,
18,Male,3,0,
,Male,3,0,
18,Male,74,156,
28,Female,2,1,
34,Male,3,7,
34,Male,2,0,
19,Male,1,2,
23,Male,1,1,
35,Male,3,2,
,Male,1,0,
30,Male,1,1,
,Male,2,0,
24,Male,2,5,
,Male,1,0,
29,Male,2,2,2
27,Male,1,4,
35,Male,1,0,
38,Female,3,4,
30,Male,1,1,
34,Male,2,2,
18,Female,2,1,
33,Male,1,1,4
,Female,3,1,
29,Female,1,4,
,Male,2,0,
27,Female,1,5,5
44,Male,1,0,
31,Female,1,1,
24,Male,1,1,4
21,Female,5,12,5
,Male,2,1,
31,Male,3,17,5
25,Male,1,0,
27,Female,2,2,
24,Male,1,1,5
31,Male,1,1,
25,Male,1,0,
23,Male,4,1,
23,Female,1,1,
26,Male,1,2,
,Female,3,4,
49,Male,3,0,
24,Male,1,1,
24,Male,1,2,
35,Female,1,0,
,Male,1,0,
25,Female,2,1,
22,Female,1,4,
19,Male,1,2,
22,Female,1,5,
,Others,3,1,
35,Male,2,4,
25,Male,1,0,
31,Male,3,2,
,Male,3,0,
25,Female,1,1,5
,Male,2,1,
