age,gender,profiles,cases,score,Output
23,Male,1,2,5,3
23,Male,1,0,5,3
50,Female,1,2,5,3
50,Female,1,0,5,3
20,Male,3,3,,1
50,Female,3,3,,1
32,Male,2,0,3,3
48,Male,1,1,,3
48,Male,4,1,,1
46,Female,4,1,,1
12,Male,4,1,,1
,Female,3,1,,3
23,Female,3,1,,3
31,Male,3,1,,3
28,Male,1,1,,3
30,Male,1,0,4,6
36,Male,1,0,5,6
29,Male,2,0,5,6
25,Female,2,1,4,1
24,Male,2,1,4,1
28,Female,5,14,4.8,6
53,Male,5,14,4.8,6
30,Female,5,14,4.8,6
45,Male,5,14,4.8,6
27,Female,5,14,4.8,6
22,Male,1,5,,1
22,Male,1,0,,3
38,Male,4,3,3.7,6
49,Male,2,0,,1
25,Male,1,0,4,1
43,Male,2,1,4.8,6
36,Female,2,1,4.8,6
14,Male,2,1,4.8,6
43,Male,3,8,4.8,6
36,Female,3,8,4.8,6
14,Male,3,8,4.8,6
30,Female,3,1,5,1
,Female,3,1,5,1
34,Female,3,1,5,1
26,Female,2,0,5,6
,Male,2,0,,3
11,Female,4,1,4.7,3
,Female,4,1,4.7,3
74,Male,4,1,4.7,3
35,Female,4,1,4.7,3
38,Male,1,0,,1
38,Male,1,1,2,3
62,Male,3,0,,1
55,Female,3,0,,1
20,Female,3,0,,1
30,Male,3,0,,1
25,Male,2,6,,1
45,Female,2,6,,1
25,Male,1,4,4.1,1
25,Male,1,1,4.1,3
26,Female,1,1,,1
43,Male,1,2,,1
30,Female,1,2,,1
60,Male,1,2,,1
36,Male,1,8,4.4,1
36,Male,1,3,4.4,6
36,Male,1,0,4.4,3
19,Female,3,0,,3
29,Male,3,0,,3
54,Female,3,0,,3
36,Male,1,1,4,1
23,Female,3,0,2.5,1
59,Male,1,1,,1
33,Male,1,1,,1
14,Male,1,0,3,1
31,Male,1,0,3,1
21,Male,1,0,3,1
42,Male,2,1,,3
36,Female,1,2,,1
26,Female,2,4,5,1
,Female,2,4,5,1
21,Female,3,0,,1
26,Male,3,0,,1
36,Female,1,0,,3
39,Female,2,0,,1
27,Male,3,0,5,3
27,Male,6,2,5,3
28,Female,3,2,,1
33,Male,3,2,,1
57,Female,3,2,,1
48,Female,2,2,,1
24,Female,2,2,,1
17,Female,2,2,,1
52,Male,2,2,,1
,Male,4,1,3.7,3
35,Female,4,1,3.7,3
35,Male,4,1,3.7,3
58,Male,4,1,3.7,3
40,Female,4,1,3.7,3
61,Male,4,1,3.7,3
72,Female,4,1,3.7,3
,Male,7,11,3.7,3
35,Female,7,11,3.7,3
35,Male,7,11,3.7,3
58,Male,7,11,3.7,3
40,Female,7,11,3.7,3
61,Male,7,11,3.7,3
72,Female,7,11,3.7,3
23,Male,2,0,,1
28,Male,2,0,,1
85,Male,4,7,5,1
25,Male,4,7,5,1
23,Female,1,2,5,3
,Female,3,6,5,1
33,Female,3,6,5,1
25,Male,3,13,4,6
21,Male,3,13,4,6
54,Female,3,13,4,6
55,Male,3,13,4,6
24,Male,1,0,,3
,Male,5,3,5,1
27,Female,2,0,,1
29,Female,2,0,,1
55,Female,2,0,,1
35,Female,1,1,4,1
25,Male,1,0,,1
29,Female,1,0,,1
24,Male,1,0,4.5,3
35,Female,2,1,3.5,3
68,Female,2,1,3.5,3
69,Male,2,1,3.5,3
39,Male,2,1,3.5,3
,Male,2,1,3.5,3
35,Female,5,4,3.5,1
68,Female,5,4,3.5,1
69,Male,5,4,3.5,1
39,Male,5,4,3.5,1
,Male,5,4,3.5,1
28,Male,1,1,4.8,3
54,Female,1,1,4.8,3
33,Female,1,1,4.8,3
60,Male,1,0,4.7,3
64,Female,1,0,4.7,3
60,Male,5,3,4.7,3
64,Female,5,3,4.7,3
41,Male,1,0,,3
54,Male,3,1,,3
51,Female,3,1,,3
33,Female,3,4,,3
